timestamp,event,spotPrice,markPrice,fundingRate,funding_pnl_usd,funding_pnl_formula,basis_pnl_usd,basis_pnl_formula,total_pnl_usd
2024-02-21 08:00:00.000,Close Position,51667.84,51581.9,,0.0,0.000000 * 51667.84 = 0.0000,9.005642600705313,(51667.84 - 51581.90) - (52098.50 - 52456.10) = 443.5400; 443.5400 * 0.020304 = 9.0056,9.005642600705313
2024-02-22 08:00:00.000,Funding,,,0.00038078,0.0,,0.0,,0.0
2024-02-22 08:00:00.000,Close Position,51888.52,51842.45044097,,0.0,0.000000 * 51888.52 = 0.0000,8.325386064073433,(51888.52 - 51842.45) - (51532.57 - 51896.00) = 409.4996; 409.4996 * 0.020331 = 8.3254,8.325386064073433
2024-02-23 00:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
2024-02-23 00:00:00.000,Close Position,51455.85,51300.0,,0.0,0.000000 * 51455.85 = 0.0000,5.859781604550656,(51455.85 - 51300.00) - (51479.09 - 51610.00) = 286.7600; 286.7600 * 0.020434 = 5.8598,5.859781604550656
2024-02-24 16:00:00.001,Funding,,,0.00026867,0.0,,0.0,,0.0
2024-02-24 16:00:00.001,Close Position,51099.35,51120.0,,0.0,0.000000 * 51099.35 = 0.0000,1.6538657349357848,(51099.35 - 51120.00) - (50994.92 - 51096.00) = 80.4300; 80.4300 * 0.020563 = 1.6539,1.6538657349357848
2024-02-25 16:00:00.000,Funding,,,0.00027482,0.0,,0.0,,0.0
2024-02-26 00:00:00.000,Funding,,,0.00030125,0.0,,0.0,,0.0
2024-02-26 08:00:00.000,Funding,,,0.00015163,0.0,,0.0,,0.0
2024-02-26 16:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
2024-02-26 16:00:00.000,Close Position,53391.02,52892.17714523,,0.0,0.000000 * 53391.02 = 0.0000,13.249248512217857,(53391.02 - 52892.18) - (51606.36 - 51760.00) = 652.4829; 652.4829 * 0.020306 = 13.2492,13.249248512217857
2024-02-28 08:00:00.001,Funding,,,0.00023128,0.0,,0.0,,0.0
2024-02-28 16:00:00.000,Funding,,,0.00066515,0.0,,0.0,,0.0
2024-02-28 16:00:00.000,Close Position,62412.01,61034.02038296,,0.0,0.000000 * 62412.01 = 0.0000,27.960013879228267,(62412.01 - 61034.02) - (57015.34 - 57113.20) = 1475.8496; 1475.8496 * 0.018945 = 27.9600,27.960013879228267
2024-02-29 08:00:00.000,Funding,,,0.0009403,0.0,,0.0,,0.0
2024-02-29 08:00:00.000,Close Position,62785.28,62728.18365044,,0.0,0.000000 * 62785.28 = 0.0000,23.478811109791792,(62785.28 - 62728.18) - (61359.99 - 62528.90) = 1226.0112; 1226.0112 * 0.019151 = 23.4788,23.478811109791792
2024-03-01 00:00:00.000,Funding,,,0.00060069,0.0,,0.0,,0.0
2024-03-01 00:00:00.000,Close Position,61501.11,61242.79724701,,0.0,0.000000 * 61501.11 = 0.0000,17.939062470947956,(61501.11 - 61242.80) - (62171.97 - 62844.10) = 930.4428; 930.4428 * 0.019280 = 17.9391,17.939062470947956
2024-03-02 16:00:00.001,Funding,,,0.00068311,0.0,,0.0,,0.0
2024-03-03 00:00:00.000,Funding,,,0.0005423,0.0,,0.0,,0.0
2024-03-03 08:00:00.000,Funding,,,0.00057456,0.0,,0.0,,0.0
2024-03-03 16:00:00.000,Funding,,,0.00049753,0.0,,0.0,,0.0
2024-03-03 16:00:00.000,Close Position,62845.15,62230.75209307,,0.0,0.000000 * 62845.15 = 0.0000,15.493639955586161,(62845.15 - 62230.75) - (61939.64 - 62136.00) = 810.7579; 810.7579 * 0.019110 = 15.4936,15.493639955586161
2024-03-05 16:00:00.000,Funding,,,0.00067329,0.0,,0.0,,0.0
2024-03-06 00:00:00.000,Funding,,,0.00016256,0.0,,0.0,,0.0
2024-03-06 08:00:00.000,Funding,,,0.00034982,0.0,,0.0,,0.0
